estimator,estimate,se,lower,upper,rep,truth
Outcome regression,0.06151814453076876,,,,47,0.06088195726098464
IPW,0.06808014363611871,0.0070786038572768365,0.05420633490559497,0.08195395236664245,47,0.06088195726098464
AIPW,0.0683471475164948,0.006751568357967269,0.05511431659133984,0.08157997844164977,47,0.06088195726098464
TMLE,0.0682311352563516,0.006826285564820032,0.05485186129558468,0.08161040921711854,47,0.06088195726098464
Naive comparison,0.09266013844605832,0.0046597239617563865,0.08352724723107842,0.10179302966103822,48,0.06088195726098464
Outcome regression,0.04697328748190294,,,,48,0.06088195726098464
IPW,0.05274835764801143,0.006533157865776664,0.039943603424772336,0.06555311187125053,48,0.06088195726098464
AIPW,0.05358212584575903,0.006442512602720499,0.04095503307488055,0.0662092186166375,48,0.06088195726098464
TMLE,0.05356184923228869,0.006424700929005258,0.04096966670067183,0.06615403176390555,48,0.06088195726098464
Naive comparison,0.09629223242743075,0.004629524662011575,0.0872185307527759,0.1053659341020856,49,0.06088195726098464
Outcome regression,0.05430336414340093,,,,49,0.06088195726098464
IPW,0.05590411971889632,0.006597408181145277,0.042973437190546096,0.06883480224724654,49,0.06088195726098464
AIPW,0.05452363592499144,0.006591281255367819,0.04160496195059571,0.06744230989938717,49,0.06088195726098464
TMLE,0.054521596312700454,0.006590192847733788,0.04160505557808475,0.06743813704731616,49,0.06088195726098464
Naive comparison,0.09943484231479885,0.004685206525772555,0.09025200619171957,0.10861767843787813,50,0.06088195726098464
Outcome regression,0.059769115904771485,,,,50,0.06088195726098464
IPW,0.06653455975595715,0.006760393053122216,0.05328443274598752,0.07978468676592679,50,0.06088195726098464
AIPW,0.06589245723261372,0.00667398769890086,0.0528116816063252,0.07897323285890225,50,0.06088195726098464
TMLE,0.06616980890836258,0.0066717398025236884,0.05309343907804904,0.07924617873867612,50,0.06088195726098464
Naive comparison,0.09765146518667435,0.004611066456024794,0.08861394093125817,0.10668898944209053,51,0.06088195726098464
Outcome regression,0.05284140026913792,,,,51,0.06088195726098464
IPW,0.054594846631258256,0.006730620227830433,0.04140307328703881,0.0677866199754777,51,0.06088195726098464
AIPW,0.05323563865573084,0.006638641129792447,0.040224141032418316,0.06624713627904336,51,0.06088195726098464
TMLE,0.053228098052064333,0.006637382945818881,0.04021906642404537,0.06623712968008329,51,0.06088195726098464
Naive comparison,0.09517672339111392,0.004666053900338845,0.0860314257243902,0.10432202105783765,52,0.06088195726098464
Outcome regression,0.053505708433840254,,,,52,0.06088195726098464
IPW,0.05782799038821618,0.007056948610598515,0.04399662516159307,0.07165935561483928,52,0.06088195726098464
AIPW,0.05566943645313018,0.006912251198517298,0.04212167294507942,0.06921719996118095,52,0.06088195726098464
TMLE,0.0556959240437267,0.006923399349022312,0.04212631056201953,0.06926553752543387,52,0.06088195726098464
Naive comparison,0.09213373238528677,0.004659809460619257,0.08300067359561361,0.10126679117495993,53,0.06088195726098464
Outcome regression,0.04903716463413195,,,,53,0.06088195726098464
IPW,0.052544832148019874,0.006932109300917024,0.03895814747415734,0.06613151682188241,53,0.06088195726098464
AIPW,0.054287502333812,0.006907658691488727,0.040748739974206985,0.06782626469341702,53,0.06088195726098464
TMLE,0.05377486454506365,0.00686138226916361,0.04032680230726467,0.06722292678286264,53,0.06088195726098464
Naive comparison,0.10295981535189573,0.004642063796657371,0.09386153742474396,0.1120580932790475,54,0.06088195726098464
Outcome regression,0.06353183124956474,,,,54,0.06088195726098464
IPW,0.06762344958730476,0.006972310628434736,0.0539579717587553,0.08128892741585422,54,0.06088195726098464
AIPW,0.06776851255285224,0.006959806262259867,0.05412754283184834,0.08140948227385614,54,0.06088195726098464
TMLE,0.06779766248111067,0.006950523641799214,0.05417488636203532,0.08142043860018602,54,0.06088195726098464
Naive comparison,0.09605048494469334,0.004664747136721793,0.08690774848761555,0.10519322140177113,55,0.06088195726098464
Outcome regression,0.05533240532841169,,,,55,0.06088195726098464
IPW,0.05665927487869139,0.006726562567975393,0.04347545440171207,0.06984309535567071,55,0.06088195726098464
AIPW,0.05505810289246983,0.00663472844324077,0.042054273993941876,0.06806193179099779,55,0.06088195726098464
TMLE,0.055064357456753144,0.0066342503840655775,0.04206146553699844,0.06806724937650785,55,0.06088195726098464
Naive comparison,0.09598759572178976,0.00467599995500601,0.08682280414597636,0.10515238729760316,56,0.06088195726098464
Outcome regression,0.047151990346197034,,,,56,0.06088195726098464
IPW,0.05310906540765921,0.007110332986888976,0.039173068725344345,0.06704506208997407,56,0.06088195726098464
AIPW,0.05096712526537892,0.006992833857938988,0.03726142264583739,0.06467282788492046,56,0.06088195726098464
TMLE,0.05109139912680001,0.007019856522017864,0.03733273305847979,0.06485006519512024,56,0.06088195726098464
Naive comparison,0.09761900666603239,0.004685138754823766,0.08843630337157299,0.10680170996049179,57,0.06088195726098464
